ID NUTS YYYY MM 0 BAREA
733 DE414 2000 08 2 2.10543
734 DE414 2001 05 2 0.128885
735 DE414 2002 05 2 0.00790377
736 DE414 2002 08 2 0.347406
737 DE414 2002 09 3 1.27069
738 DE414 2002 10 2 0.0957212
739 DE414 2003 03 3 1.18491
740 DE414 2003 04 4 1.7882
741 DE414 2003 05 5 0.742903
742 DE414 2003 06 2 0.00525537
743 DE414 2003 07 3 0.749055
744 DE414 2003 08 3 1.75443
745 DE414 2004 03 4 1.97627
746 DE414 2004 04 3 1.00275
747 DE414 2004 07 2 0.00795488
748 DE414 2005 04 2 12.8237
749 DE414 2005 05 3 0.182478
750 DE414 2005 06 2 0.051172
751 DE414 2006 05 5 1.88579
752 DE414 2006 06 3 0.470848
753 DE414 2006 07 4 11.9673
754 DE414 2006 08 2 0.0490289
755 DE414 2006 09 3 0.694654
756 DE415 1998 02 3 0.20879
757 DE415 1998 03 3 0.0162351
758 DE415 1998 05 3 1.74778
759 DE415 1998 06 3 0.0208709
760 DE415 1998 07 3 0.27388
761 DE415 1998 08 3 1.21651
